Profession,Country,Region,Education,Sex,Age,AgeBin,Maritial,1.1_HeardCovid,1.2_Television/Radio,1.2_Newspaper/Magazines,1.2_SocialMedia,1.2_Colleagues/Workplace,1.2_Neighbors,1.3_CovidKnowledgeLevel,1.4_ContactRespiratoryDrop,1.4_Touching,1.4_UseSameObject,1.4_Sex,1.4_PersonToPerson,1.4_CloseContact,1.4_TouchingCoin,1.4_CovidFloatOnAir,1.5_Fever,1.5_Tiredness,1.5_Cough,1.5_ShortnessBreath,1.5_AchesPain,1.5_NasalCongestion,1.5_RunningNose,1.5_SoreThroat,1.5_Diarrhea,1.6_Mask,1.7_IncubationPeriod,1.8_Vaccine,1.9_LockDown,1.9_Isolation,1.9_Quarantine,1.10_Over60Yr,1.10_PrexistingCond,1.10_WorkEnvo,1.10_RiskZone,2.1_LockDown,2.2_HomeQuarantine,2.3_Isolation,2.4_PersonalHygiene,2.5_MediaRole,2.6_Over60Yr,2.6_PreExisting,2.6_Working,2.6_RiskZone,3.1_Quarantine,3.1_Respository,3.1_WashingHand,3.1_Mask,3.1_TouchingMouth,3.1_SocialDistance,3.2_PPE,3.3_Test,3.4_Handshake,3.4_Hug,3.4_VisitPlaces,3.4_ContactInfected,3.4_Religion,3.5_HandWash,3.8_Internet,3.9_Newspaper,3.9_TV,3.9_SocialMedia,3.9_Internet,3.10_TimeSpentOnCovidNews,4.1_FearOfDeath,4.1_Anxeity,4.1_Depression,4.1_SocialExclusion,4.1_Lonliness,N90BestToControlSpread,LearntCovid,KnowledgeScore,OpinionScoring,Susceptiblity,BehaveScore,PsychologicalHealth,Access_Of_Information
Academian/Administration,United States,"North America (United States of America, Canada)",,Male,41,"(30.0, 41.0]",1,1,1.0,0,1,0,0.0,,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,0,0,0,0,5,2-14 Day,1,1,1,1,0,0,0,0,1,3,4,4,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,8,1,0,1,0,0,1,0,0,0,1,1,0,2.0,13,14,0,3,2,1
Medical Professionals,United States,"North America (United States of America, Canada)",,Male,33,"(30.0, 41.0]",3,1,1.0,1,1,1,0.0,,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,5,2-14 Day,0,1,1,1,0,1,1,0,4,5,5,5,5,0,1,1,0,1,1,1,1,1,1,3,3,1,1,0,1,1,8,1,1,1,0,1,1,0,0,0,0,1,0,4.0,19,24,2,10,1,3
Academian/Administration,Brazil,"South America (Argentina, Brazile, Chile, Venezuela, Colombia)",T,Female,24,"(21.0, 24.0]",1,1,1.0,1,1,1,1.0,,1,1,1,0,1,1,1.0,0.0,1,1,1,1,1,0,0,0,0,5,2-14 Day,0,1,1,1,1,0,0,1,2,3,5,5,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,8,1,0,0,0,1,1,0,0,0,0,1,0,5.0,13,16,1,9,1,1
Academian/Administration,Bangladesh,"South Asia (Bangladesh, India, Nepal)",,Male,22,"(21.0, 24.0]",1,1,1.0,1,1,1,1.0,,1,1,1,1,1,1,1.0,1.0,1,1,1,1,0,0,0,0,1,5,2-14 Day,0,1,1,1,1,1,1,1,5,4,4,5,5,,,,1,0,1,1,1,1,1,0,0,1,1,0,1,0,8,1,0,1,1,1,1,1,1,0,0,1,0,5.0,17,23,1,8,3,3
Academian/Administration,Bangladesh,"South Asia (Bangladesh, India, Nepal)",,Male,23,"(21.0, 24.0]",1,1,0.0,0,1,1,1.0,,1,1,1,0,0,0,0.0,0.0,1,1,0,1,1,1,1,1,0,5,2-14 Day,0,1,0,0,1,1,1,1,4,4,4,5,4,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,8,1,0,1,1,1,1,1,1,1,0,0,0,3.0,14,21,4,10,3,3
Medical Professionals,Bangladesh,"South Asia (Bangladesh, India, Nepal)",S,Male,21,"(8.999, 21.0]",1,1,1.0,1,1,1,1.0,,1,0,0,0,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,5,2-14 Day,0,1,1,1,0,0,1,1,5,5,4,5,5,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,8,1,1,1,1,1,1,0,0,0,0,0,0,5.0,16,24,2,10,0,4
Medical Professionals,Bangladesh,"South Asia (Bangladesh, India, Nepal)",T,Male,25,"(24.0, 30.0]",1,1,1.0,1,1,1,1.0,,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,0,1,1,1,5,2-14 Day,3,1,0,1,0,0,1,1,5,4,4,4,4,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,8,1,0,1,1,1,1,1,1,1,1,1,0,5.0,18,21,2,11,5,3
Medical Professionals,Bangladesh,"South Asia (Bangladesh, India, Nepal)",T,Male,25,"(24.0, 30.0]",1,1,1.0,1,1,1,1.0,,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,0,1,1,1,5,2-14 Day,3,1,0,1,0,0,1,1,5,4,4,4,4,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,8,1,0,1,1,1,1,1,1,1,1,1,0,5.0,18,21,2,11,5,3
Medical Professionals,Bangladesh,"South Asia (Bangladesh, India, Nepal)",T,Male,28,"(24.0, 30.0]",2,1,1.0,1,1,1,1.0,,1,1,1,0,1,1,1.0,1.0,1,1,1,1,1,1,0,1,1,5,2-14 Day,1,1,1,1,1,1,1,1,5,5,5,5,5,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,0,0,0,5.0,19,25,1,11,3,4
Medical Professionals,Bangladesh,"South Asia (Bangladesh, India, Nepal)",T,Male,24,"(21.0, 24.0]",1,1,1.0,1,1,1,0.0,,1,1,1,0,1,1,1.0,0.0,1,0,1,1,0,1,1,1,1,5,2-14 Day,0,1,1,1,1,0,1,0,5,5,4,4,4,0,0,1,0,1,0,1,1,1,1,3,0,1,1,1,1,1,8,1,0,1,1,1,1,0,1,0,0,1,0,4.0,15,22,1,10,2,3
Medical Professionals,Bangladesh,"South Asia (Bangladesh, India, Nepal)",T,Female,28,"(24.0, 30.0]",2,1,1.0,1,1,1,0.0,,1,1,1,0,0,1,1.0,1.0,1,1,1,1,1,0,1,1,1,5,2-14 Day,0,1,1,1,1,1,1,1,5,4,4,5,4,,,1,,0,1,1,1,1,1,0,0,1,1,1,1,1,8,1,1,1,1,0,1,0,1,0,0,0,0,4.0,18,22,1,10,1,3
Academian/Administration,Malaysia,"Southeast Asia (Indonesia, Malaysia, Myanmar, Lao, Philpin, Singapore, Thailand)",,Female,36,"(30.0, 41.0]",2,1,1.0,1,1,1,1.0,,1,1,1,1,1,1,1.0,0.0,1,0,1,1,0,0,0,1,0,5,2-14 Day,0,0,1,1,0,0,0,0,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,8,1,0,1,1,0,1,1,0,0,1,0,0,5.0,11,25,4,11,2,2
Medical Professionals,Ghana,"West Africa( Ghana, Nigeria)",,Female,23,"(21.0, 24.0]",1,1,1.0,1,1,1,1.0,,0,1,0,0,0,1,0.0,1.0,1,1,1,1,1,0,0,1,0,5,2-14 Day,0,1,1,1,1,1,0,0,5,4,3,3,5,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,8,1,0,0,1,1,1,0,1,1,1,1,0,5.0,11,20,0,7,4,2
Medical Professionals,Pakistan,"West Asia (Iran, Oman, Pakistan, Qatar, Turkey, Saudia Arabia, United Arab Emirats, Yaman)",,Male,48,"(41.0, 76.0]",2,1,1.0,0,1,1,0.0,,1,1,1,0,1,1,1.0,1.0,1,1,1,1,1,1,0,0,1,5,2-14 Day,0,1,1,1,1,1,0,0,5,5,5,5,5,0,1,,,1,1,1,1,1,1,3,0,1,1,1,1,1,8,1,0,1,1,1,1,0,0,0,0,0,0,3.0,16,25,1,11,0,3
Medical Professionals,Pakistan,"West Asia (Iran, Oman, Pakistan, Qatar, Turkey, Saudia Arabia, United Arab Emirats, Yaman)",,Male,45,"(41.0, 76.0]",2,1,1.0,0,1,1,0.0,,1,1,1,0,1,1,1.0,1.0,1,1,1,1,1,1,1,1,0,5,2-14 Day,0,1,1,1,1,0,0,0,5,3,4,5,5,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,8,1,1,1,1,1,1,1,1,1,1,1,0,3.0,16,22,4,8,5,4
Academian/Administration,Pakistan,"West Asia (Iran, Oman, Pakistan, Qatar, Turkey, Saudia Arabia, United Arab Emirats, Yaman)",T,Female,31,"(30.0, 41.0]",1,1,1.0,1,1,1,1.0,,1,1,1,1,1,1,1.0,0.0,1,1,1,1,1,0,0,1,0,5,2-14 Day,0,0,1,1,1,0,1,0,5,5,5,5,5,0,0,1,0,1,1,1,1,1,1,3,0,1,1,1,1,1,8,1,0,1,1,1,1,0,0,0,1,1,0,5.0,15,25,1,11,2,3
Medical Professionals,Pakistan,"West Asia (Iran, Oman, Pakistan, Qatar, Turkey, Saudia Arabia, United Arab Emirats, Yaman)",,Female,21,"(8.999, 21.0]",1,1,1.0,1,1,1,1.0,,1,1,1,0,1,1,1.0,1.0,1,0,1,1,0,0,0,0,0,5,2-14 Day,3,1,1,1,1,1,0,1,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,8,1,1,1,1,1,1,1,0,1,1,1,0,5.0,13,20,4,9,4,4
Medical Professionals,Pakistan,"West Asia (Iran, Oman, Pakistan, Qatar, Turkey, Saudia Arabia, United Arab Emirats, Yaman)",,Female,32,"(30.0, 41.0]",2,1,1.0,1,1,1,1.0,,1,1,1,0,1,1,1.0,1.0,1,1,1,1,1,0,1,1,0,5,2-14 Day,0,1,1,1,0,0,1,0,5,5,5,5,5,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,8,1,0,0,1,1,1,0,1,0,0,0,0,5.0,15,25,1,8,1,2
Medical Professionals,Pakistan,"West Asia (Iran, Oman, Pakistan, Qatar, Turkey, Saudia Arabia, United Arab Emirats, Yaman)",T,Male,41,"(30.0, 41.0]",2,1,1.0,1,1,1,0.0,,1,1,1,1,1,1,1.0,1.0,1,1,0,1,0,1,1,1,1,5,2-14 Day,0,1,1,1,1,1,1,1,5,5,5,5,5,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,8,1,0,1,1,1,1,0,1,0,0,1,0,4.0,19,25,1,11,2,3
Academian/Administration,Mexico,Central America and Mexico,T,Male,28,"(24.0, 30.0]",1,1,1.0,1,1,1,,5,1,1,1,0,1,1,0.0,1.0,1,1,0,1,1,1,1,0,1,5,2-14 Day,3,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,8,1,0,0,1,1,2,1,1,1,1,1,0,,17,20,4,10,5,2
Academian/Administration,Mexico,Central America and Mexico,T,Male,24,"(21.0, 24.0]",1,1,1.0,1,1,0,0.0,3,1,0,1,0,1,1,1.0,0.0,1,1,1,1,1,1,0,1,1,5,2-14 Day,0,1,1,1,0,0,1,0,5,5,5,5,5,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,8,1,0,1,1,1,2,1,1,1,1,1,0,3.0,14,25,0,10,5,3
Academian/Administration,Japan,"East Asia (China, Japan, South korea)",T,Female,33,"(30.0, 41.0]",1,1,1.0,0,1,1,0.0,3,1,0,0,0,1,1,,,1,1,1,1,1,0,0,1,0,5,2-14 Day,0,1,1,1,1,0,0,,5,4,4,5,3,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,8,1,0,1,1,0,2,0,1,1,0,1,0,3.0,10,21,2,8,3,2
Academian/Administration,Japan,"East Asia (China, Japan, South korea)",T,Female,33,"(30.0, 41.0]",1,1,1.0,0,1,1,0.0,3,1,0,0,0,1,1,,,1,1,1,1,1,0,0,1,0,5,2-14 Day,0,1,1,1,1,0,0,,5,4,4,5,3,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,8,1,0,1,1,0,2,0,1,1,0,1,0,3.0,10,21,2,8,3,2
Academian/Administration,United States,"North America (United States of America, Canada)",,Male,65,"(41.0, 76.0]",2,1,1.0,1,1,1,0.0,,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,5,2-14 Day,0,1,1,1,1,1,0,1,4,5,5,5,5,1,1,0,1,1,1,1,1,1,1,0,3,1,1,1,1,1,8,1,1,1,1,1,2,1,1,0,0,1,0,4.0,20,24,3,11,3,4
Medical Professionals,Bangladesh,"South Asia (Bangladesh, India, Nepal)",,Female,23,"(21.0, 24.0]",1,1,1.0,1,1,1,1.0,,1,1,1,0,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,5,2-14 Day,0,1,1,1,1,1,0,0,5,4,4,5,5,0,Not Sure,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,8,1,1,1,1,0,2,1,1,1,1,1,0,5.0,18,23,0,10,5,3
Medical Professionals,Bangladesh,"South Asia (Bangladesh, India, Nepal)",,Female,19,"(8.999, 21.0]",1,1,1.0,1,1,1,0.0,,1,1,1,0,1,1,1.0,1.0,1,1,1,1,1,1,0,0,0,5,2-14 Day,0,1,1,1,1,0,1,0,5,4,3,4,5,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,8,1,1,1,1,1,2,0,0,0,0,0,0,4.0,15,21,1,10,0,4
Medical Professionals,Bangladesh,"South Asia (Bangladesh, India, Nepal)",T,Female,24,"(21.0, 24.0]",1,1,1.0,1,1,1,1.0,,1,0,1,0,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,5,2-14 Day,0,1,1,1,1,1,0,1,5,5,5,5,4,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,8,1,1,1,1,1,2,1,1,1,1,1,0,5.0,18,24,4,9,5,4
Medical Professionals,Malaysia,"Southeast Asia (Indonesia, Malaysia, Myanmar, Lao, Philpin, Singapore, Thailand)",,Male,31,"(30.0, 41.0]",1,1,1.0,0,1,1,1.0,,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,0,0,1,0,5,2-14 Day,3,1,1,1,0,0,0,0,5,5,5,5,4,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,8,1,0,1,1,0,2,1,1,0,1,0,0,4.0,14,24,0,9,3,2
Medical Professionals,Malaysia,"Southeast Asia (Indonesia, Malaysia, Myanmar, Lao, Philpin, Singapore, Thailand)",T,Male,36,"(30.0, 41.0]",1,1,1.0,1,1,1,1.0,,1,1,1,0,1,1,1.0,1.0,1,1,1,1,0,0,0,1,1,5,2-14 Day,0,1,1,1,1,1,1,0,4,5,5,5,5,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,8,1,1,1,1,1,2,0,0,0,0,0,0,5.0,16,24,0,8,0,4
Academian/Administration,Malaysia,"Southeast Asia (Indonesia, Malaysia, Myanmar, Lao, Philpin, Singapore, Thailand)",T,Male,36,"(30.0, 41.0]",1,1,1.0,1,1,1,1.0,,1,0,1,0,1,1,0.0,0.0,1,0,1,1,0,0,0,1,1,5,2-14 Day,0,1,0,1,1,1,0,0,4,5,5,5,5,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,8,1,1,1,1,0,2,0,1,0,0,1,0,5.0,11,24,0,8,2,3
Medical Professionals,Malaysia,"Southeast Asia (Indonesia, Malaysia, Myanmar, Lao, Philpin, Singapore, Thailand)",,Male,49,"(41.0, 76.0]",2,1,1.0,0,1,1,0.0,,1,1,1,0,1,1,1.0,0.0,1,0,1,1,0,1,1,1,1,5,2-14 Day,0,1,1,1,0,0,1,0,5,5,4,5,5,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,8,1,0,1,1,1,2,0,1,0,0,0,0,3.0,14,24,1,11,1,3
Medical Professionals,Oman,"West Asia (Iran, Oman, Pakistan, Qatar, Turkey, Saudia Arabia, United Arab Emirats, Yaman)",,Female,44,"(41.0, 76.0]",2,1,1.0,0,1,1,1.0,,1,1,1,0,1,1,1.0,1.0,1,0,1,1,0,1,1,1,0,5,2-14 Day,1,1,1,1,0,1,0,1,5,5,5,5,5,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,8,1,0,1,1,1,2,1,1,0,0,0,0,4.0,15,25,4,10,2,3
Medical Professionals,Oman,"West Asia (Iran, Oman, Pakistan, Qatar, Turkey, Saudia Arabia, United Arab Emirats, Yaman)",,Female,44,"(41.0, 76.0]",2,1,1.0,0,1,1,1.0,,1,1,1,0,1,1,1.0,1.0,1,0,1,1,0,1,1,1,0,5,2-14 Day,1,1,1,1,0,1,0,1,5,5,5,5,5,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,8,1,0,1,1,1,2,1,1,0,0,0,0,4.0,15,25,4,10,2,3
Medical Professionals,Pakistan,"West Asia (Iran, Oman, Pakistan, Qatar, Turkey, Saudia Arabia, United Arab Emirats, Yaman)",,Female,28,"(24.0, 30.0]",2,1,1.0,1,1,1,1.0,,1,1,1,0,1,1,1.0,0.0,1,1,1,1,1,0,0,1,0,5,2-14 Day,0,1,1,1,1,1,1,0,4,4,4,4,5,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,8,1,0,1,1,1,2,0,0,0,1,0,0,5.0,15,21,1,10,1,3
Medical Professionals,Pakistan,"West Asia (Iran, Oman, Pakistan, Qatar, Turkey, Saudia Arabia, United Arab Emirats, Yaman)",,Male,33,"(30.0, 41.0]",2,1,1.0,0,1,1,0.0,,1,1,1,0,1,1,1.0,1.0,1,0,1,1,0,0,0,1,0,5,2-14 Day,0,0,1,1,1,1,0,0,4,5,5,5,5,0,1,1,0,1,1,1,0,1,1,3,0,1,1,1,1,0,8,1,1,1,0,1,2,1,1,1,1,1,0,3.0,13,24,2,9,5,3
Academian/Administration,United States,"North America (United States of America, Canada)",,Female,23,"(21.0, 24.0]",1,1,1.0,0,1,1,0.0,,1,1,1,0,1,1,1.0,1.0,1,1,1,1,1,1,0,1,0,5,2-14 Day,1,1,1,1,1,1,1,1,4,5,5,5,3,0,0,0,0,1,1,1,1,1,1,3,0,1,1,0,1,1,8,1,0,1,1,1,4,0,0,0,0,1,0,3.0,18,22,0,10,1,3
Medical Professionals,Bangladesh,"South Asia (Bangladesh, India, Nepal)",T,Male,26,"(24.0, 30.0]",1,1,1.0,1,1,1,1.0,,1,1,1,0,1,1,1.0,1.0,1,1,1,1,1,0,1,1,1,5,2-14 Day,0,1,1,1,0,0,0,0,5,5,5,5,5,0,1,1,0,1,1,1,1,1,1,3,0,1,1,1,1,1,8,1,1,1,1,1,4,1,1,1,1,1,0,5.0,15,25,2,11,5,4
Medical Professionals,Mexico,Central America and Mexico,T,Male,43,"(41.0, 76.0]",2,1,,0,1,1,1.0,,1,1,1,0,1,1,1.0,1.0,1,1,1,1,1,0,0,0,0,5,2-14 Day,0,1,1,1,0,0,0,1,4,5,5,5,4,0,0,0,1,1,1,1,0,1,1,3,0,1,1,0,1,1,8,1,0,1,1,1,1,0,0,0,0,1,0,,13,23,1,9,1,3
Medical Professionals,Pakistan,"West Asia (Iran, Oman, Pakistan, Qatar, Turkey, Saudia Arabia, United Arab Emirats, Yaman)",,Female,27,"(24.0, 30.0]",2,1,1.0,0,1,1,0.0,,1,1,1,0,1,1,0.0,0.0,1,0,1,1,0,0,0,1,0,5,2-14 Day,0,1,1,1,0,0,0,0,5,5,4,5,4,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,9,1,0,1,1,1,2,0,1,0,0,0,0,3.0,9,23,0,11,1,3
Medical Professionals,Mexico,Central America and Mexico,,Female,23,"(21.0, 24.0]",1,1,1.0,1,1,1,1.0,3,1,0,0,0,1,1,0.0,1.0,1,1,1,1,1,0,0,1,1,1,2-14 Day,0,1,1,1,1,1,0,0,5,5,5,5,4,0,Not Sure,Not Sure,Not Sure,1,1,1,1,1,1,0,0,0,0,1,1,1,9,1,1,1,1,1,2,1,1,1,1,1,1,5.0,14,24,0,9,5,4
Academian/Administration,Mexico,Central America and Mexico,S,Male,21,"(8.999, 21.0]",1,1,1.0,1,1,0,0.0,3,1,1,1,0,1,1,1.0,0.0,1,0,1,1,1,1,1,1,0,1,2-14 Day,0,1,1,1,0,0,1,3,4,4,4,4,4,0,0,0,0,1,1,1,1,1,1,3,0,1,1,1,1,1,9,1,0,0,1,1,1,0,1,1,1,1,1,3.0,18,20,0,11,4,2
Medical Professionals,Bangladesh,"South Asia (Bangladesh, India, Nepal)",S,Male,18,"(8.999, 21.0]",1,1,1.0,1,1,1,0.0,,1,1,1,1,1,1,1.0,1.0,1,1,1,1,0,0,0,1,0,1,2-14 Day,1,1,1,1,0,1,1,1,4,5,5,5,5,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,9,1,0,0,1,1,1,0,1,1,0,1,1,4.0,17,24,3,11,3,2
Medical Professionals,Bangladesh,"South Asia (Bangladesh, India, Nepal)",,Male,30,"(24.0, 30.0]",2,1,1.0,1,1,1,1.0,,1,1,1,0,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,2-14 Day,0,1,1,1,1,0,1,0,5,5,5,5,5,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,9,1,0,1,1,1,1,0,1,1,0,1,1,5.0,19,25,1,11,3,3
Medical Professionals,Bangladesh,"South Asia (Bangladesh, India, Nepal)",T,Female,21,"(8.999, 21.0]",1,1,1.0,1,1,1,1.0,,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1-7 Day,3,1,1,1,1,1,1,1,5,5,4,5,5,1,1,1,1,1,1,1,1,1,1,3,0,1,1,1,1,1,9,1,0,1,1,1,1,1,1,1,0,1,1,5.0,22,24,4,11,4,3
Medical Professionals,Bangladesh,"South Asia (Bangladesh, India, Nepal)",T,Male,19,"(8.999, 21.0]",1,1,1.0,1,1,1,0.0,,1,0,1,0,1,1,1.0,0.0,1,1,1,1,1,1,1,1,1,1,2-14 Day,0,1,0,1,1,1,1,1,5,4,4,5,5,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,9,1,0,1,1,1,1,0,1,1,1,1,1,4.0,19,23,4,11,4,3
Medical Professionals,Malaysia,"Southeast Asia (Indonesia, Malaysia, Myanmar, Lao, Philpin, Singapore, Thailand)",T,Female,36,"(30.0, 41.0]",2,0,1.0,1,1,1,1.0,,1,1,1,0,1,1,0.0,1.0,1,1,0,1,1,1,1,1,0,1,2-14 Day,0,1,1,1,1,1,1,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,9,1,1,1,0,1,1,0,0,0,1,0,1,5.0,18,25,4,11,1,3
Medical Professionals,Pakistan,"West Asia (Iran, Oman, Pakistan, Qatar, Turkey, Saudia Arabia, United Arab Emirats, Yaman)",,Male,35,"(30.0, 41.0]",2,1,1.0,0,1,1,0.0,,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,2-14 Day,0,1,1,1,1,1,1,1,5,5,5,4,4,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,9,1,0,1,1,1,1,0,0,0,0,0,1,3.0,22,23,2,11,0,3
Academian/Administration,Bangladesh,"South Asia (Bangladesh, India, Nepal)",,Male,20,"(8.999, 21.0]",1,1,1.0,1,1,1,1.0,,1,1,1,0,1,1,1.0,1.0,1,1,1,1,1,0,0,1,1,4,2-14 Day,3,1,0,1,1,1,0,0,3,2,4,5,4,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,9,1,1,1,1,1,1,0,0,0,0,0,0,5.0,16,18,1,7,0,4
Academian/Administration,Mexico,Central America and Mexico,,Male,19,"(8.999, 21.0]",1,1,1.0,1,1,1,1.0,3,1,1,1,0,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,2,2-14 Day,0,1,1,1,1,1,1,0,5,5,5,5,4,1,1,1,1,1,1,1,1,1,1,3,0,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,0,5.0,19,24,4,11,5,4
Academian/Administration,Mexico,Central America and Mexico,,Male,19,"(8.999, 21.0]",1,1,1.0,1,1,1,1.0,3,1,1,1,0,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,2,2-14 Day,0,1,1,1,1,1,1,0,5,5,5,5,4,1,1,1,1,1,1,1,1,1,1,3,0,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,0,5.0,19,24,4,11,5,4
Academian/Administration,Ghana,"West Africa( Ghana, Nigeria)",T,Female,19,"(8.999, 21.0]",2,1,1.0,1,1,1,1.0,,1,1,1,0,1,1,1.0,1.0,1,1,1,1,1,1,1,1,0,2,2-14 Day,0,1,1,1,1,1,1,1,5,4,5,5,5,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,9,1,0,1,1,1,1,0,0,0,1,1,0,5.0,19,24,3,11,2,3
Academian/Administration,Zambia,"Southern Africa (South Africa, Malawi, Zambia)",T,Female,39,"(30.0, 41.0]",2,1,1.0,1,1,1,1.0,,1,1,1,1,1,1,1.0,0.0,1,1,1,1,1,1,1,1,0,2,2-14 Day,0,0,1,1,1,1,1,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,9,1,1,1,1,1,2,1,0,0,0,0,0,5.0,19,25,4,11,1,4
Academian/Administration,Japan,"East Asia (China, Japan, South korea)",S,Male,21,"(8.999, 21.0]",1,1,1.0,0,1,1,0.0,2,1,0,0,0,1,1,,,1,1,1,1,1,1,1,1,1,2,2-14 Day,0,1,1,1,1,1,0,,3,5,5,5,4,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,9,1,0,0,1,1,1,0,1,0,0,0,0,3.0,14,22,4,9,1,2
Academian/Administration,Japan,"East Asia (China, Japan, South korea)",T,Female,29,"(24.0, 30.0]",1,1,1.0,0,1,1,0.0,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,2,2-14 Day,0,1,1,1,1,1,0,,5,5,5,5,2,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,9,1,0,1,1,1,2,0,0,0,0,0,0,3.0,17,22,2,5,0,3
Medical Professionals,Pakistan,"West Asia (Iran, Oman, Pakistan, Qatar, Turkey, Saudia Arabia, United Arab Emirats, Yaman)",,Male,29,"(24.0, 30.0]",2,1,1.0,1,1,1,0.0,,0,1,1,0,1,1,0.0,0.0,1,1,1,1,1,1,1,1,1,5,2-14 Day,0,1,1,1,1,0,1,0,5,5,5,5,3,0,1,1,Not Sure,1,1,1,1,1,1,1,0,1,1,1,1,1,9,1,0,1,1,1,3,1,1,0,1,0,0,4.0,15,23,2,11,3,3
Academian/Administration,South Africa,"Southern Africa (South Africa, Malawi, Zambia)",,Female,37,"(30.0, 41.0]",2,1,1.0,1,1,1,1.0,,1,1,1,0,1,1,1.0,0.0,1,1,1,1,0,0,0,1,0,5,2-14 Day,0,1,1,1,0,0,0,0,3,5,5,5,3,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,9,1,0,1,1,1,4,0,1,0,0,0,0,5.0,11,21,1,11,1,3
Academian/Administration,Zambia,"Southern Africa (South Africa, Malawi, Zambia)",T,Male,41,"(30.0, 41.0]",1,1,1.0,0,0,1,1.0,,1,1,1,0,1,1,1.0,1.0,1,0,1,1,1,0,1,1,1,5,2-14 Day,3,1,1,1,1,0,1,0,4,4,5,5,5,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,10,1,0,1,0,1,3,0,0,0,0,1,0,3.0,16,23,0,9,1,2
